fruit,path,label
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002147.png,4
Apple,images/Apple\Apple 04748.png,0
Orange,images/Orange\Orange001828.png,6
Mango,images/Mango\Mango002627.png,5
Apple,images/Apple\Apple 0658.png,0
Tomatoes,images/Tomatoes\Tamotoes00229.png,13
Mango,images/Mango\Mango002026.png,5
Mango,images/Mango\Mango003421.png,5
Guava,images/Guava/guava total final\Guava0119.png,3
Guava,images/Guava/guava total final\cene11701.png,3
Pear,images/Pear\Pear 193.png,8
Orange,images/Orange\Orange001321.png,6
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001478.png,4
Guava,images/Guava/guava total final\Guava02744.png,3
muskmelon,images/muskmelon\Muskmelon 001968.png,14
Guava,images/Guava/guava total final\Guava0367.png,3
Banana,images/Banana\Banana0382.png,1
muskmelon,images/muskmelon\Muskmelon 00849.png,14
Pear,images/Pear\Pear 783.png,8
Carambola,images/Carambola\Carambola 00108.png,2
Kiwi,images/Kiwi/kiwi A\Kiwi A00908.png,4
Apple,images/Apple\Apple 03067.png,0
Pitaya,images/Pitaya\Pitaya002283.png,10
Apple,images/Apple\Apple 0353.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003345.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002168.png,4
Apple,images/Apple\Apple 01073.png,0
Pear,images/Pear\Pear 1826.png,8
muskmelon,images/muskmelon\Muskmelon 001647.png,14
Pitaya,images/Pitaya\Pitaya001760.png,10
Guava,images/Guava/guava total final\ene01741.png,3
Banana,images/Banana\Banana02970.png,1
Pomegranate,images/Pomegranate\Pomegranet00414.png,12
Carambola,images/Carambola\Carambola 001866.png,2
Guava,images/Guava/guava total final\Guava1490.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001105.png,4
Apple,images/Apple\Apple 01200.png,0
Kiwi,images/Kiwi/kiwi A\Kiwi A001463.png,4
Banana,images/Banana\Banana0801.png,1
Tomatoes,images/Tomatoes\Tamotoes001962.png,13
Tomatoes,images/Tomatoes\Tamotoes001525.png,13
Kiwi,images/Kiwi/Kiwi B\Kiwi B00598.png,4
Mango,images/Mango\Mango004135.png,5
Banana,images/Banana\Banana02126.png,1
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003397.png,4
Carambola,images/Carambola\Carambola 001566.png,2
Guava,images/Guava/guava total final\Guava01110.png,3
Peach,images/Peach\Peach00800.png,7
Apple,images/Apple\Apple 04403.jpeg,0
Pitaya,images/Pitaya\Pitaya00241.png,10
Orange,images/Orange\Orange00626.png,6
Guava,images/Guava/guava total final\scene15301.png,3
Guava,images/Guava/guava total final\ene15061.png,3
Pitaya,images/Pitaya\Pitaya002040.png,10
Pomegranate,images/Pomegranate\Pomegranet00210.png,12
muskmelon,images/muskmelon\Muskmelon 00551.png,14
Mango,images/Mango\Mango002758.png,5
Tomatoes,images/Tomatoes\Tamotoes00219.png,13
Pear,images/Pear\Pear 1871.png,8
Apple,images/Apple\Apple 097.png,0
Banana,images/Banana\Banana0157.png,1
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00466.png,4
Guava,images/Guava/guava total final\Guava01317.png,3
Apple,images/Apple\Apple 030.png,0
Peach,images/Peach\Peach001267.png,7
Kiwi,images/Kiwi/kiwi A\Kiwi A00651.png,4
Pear,images/Pear\Pear 1008.png,8
Pitaya,images/Pitaya\Pitaya002440.png,10
Pomegranate,images/Pomegranate\Pomegranet00676.png,12
Kiwi,images/Kiwi/Kiwi B\Kiwi B00853.png,4
Apple,images/Apple\Apple 0191.png,0
Pear,images/Pear\Pear 366.png,8
Carambola,images/Carambola\Carambola 001504.png,2
Apple,images/Apple\Apple 0339.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00295.png,4
Apple,images/Apple\Apple_0_7732.png,0
Banana,images/Banana\Banana0308.png,1
Orange,images/Orange\Orange002986.png,6
Tomatoes,images/Tomatoes\Tamotoes001999.png,13
Apple,images/Apple\Apple 01240.png,0
Guava,images/Guava/guava total final\scene10801.png,3
Kiwi,images/Kiwi/kiwi A\Kiwi A001519.png,4
Apple,images/Apple\Apple 02124.png,0
Pomegranate,images/Pomegranate\Pomegranet001663.png,12
Guava,images/Guava/guava total final\Guava02715.png,3
Pitaya,images/Pitaya\Pitaya001817.png,10
Guava,images/Guava/guava total final\Guava738.png,3
Guava,images/Guava/guava total final\Guava439.png,3
Apple,images/Apple\Apple 03650.png,0
Guava,images/Guava/guava total final\scene00781.png,3
Guava,images/Guava/guava total final\Guava1267.png,3
muskmelon,images/muskmelon\Muskmelon 00262.png,14
Pear,images/Pear\Pear 1922.png,8
Plum,images/Plum\PlumÒÇé935.png,11
Orange,images/Orange\Orange00786.png,6
Tomatoes,images/Tomatoes\Tamotoes00571.png,13
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00878.png,4
Pear,images/Pear\Pear 107.png,8
Guava,images/Guava/guava total final\Guava0975.png,3
Apple,images/Apple\Apple 01269.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003034.png,4
Pomegranate,images/Pomegranate\Pomegranet001410.png,12
Banana,images/Banana\Banana0449.png,1
Guava,images/Guava/guava total final\Guava1310.png,3
muskmelon,images/muskmelon\Muskmelon 00228.png,14
Guava,images/Guava/guava total final\Guava209.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003674.png,4
Apple,images/Apple\Apple 04334.jpeg,0
Apple,images/Apple\Apple 02288.png,0
Banana,images/Banana\Banana0918.png,1
Guava,images/Guava/guava total final\Guava02848.png,3
Persimmon,images/Persimmon\Persimmon255.png,9
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003433.png,4
Orange,images/Orange\Orange00809.png,6
Persimmon,images/Persimmon\Persimmon675.png,9
Apple,images/Apple\Apple 03564.png,0
Orange,images/Orange\Orange00509.png,6
Apple,images/Apple\Apple_0_9710.png,0
Pitaya,images/Pitaya\Pitaya001967.png,10
Pomegranate,images/Pomegranate\Pomegranet00124.png,12
muskmelon,images/muskmelon\Muskmelon 001574.png,14
Kiwi,images/Kiwi/Kiwi C\Kiwi C00286.png,4
Mango,images/Mango\Mango002065.png,5
Banana,images/Banana\Banana02631.png,1
Kiwi,images/Kiwi/kiwi A\Kiwi A00645.png,4
Carambola,images/Carambola\Carambola 001839.png,2
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001645.png,4
Kiwi,images/Kiwi/Kiwi C\Kiwi C00514.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001561.png,4
Persimmon,images/Persimmon\Persimmon1205.png,9
Carambola,images/Carambola\Carambola 00949.png,2
Pear,images/Pear\Pear 1104.png,8
muskmelon,images/muskmelon\Muskmelon 002081.png,14
Peach,images/Peach\Peach002538.png,7
Carambola,images/Carambola\Carambola 001075.png,2
Tomatoes,images/Tomatoes\Tamotoes001598.png,13
Peach,images/Peach\Peach001755.png,7
Tomatoes,images/Tomatoes\Tamotoes001030.png,13
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi004049.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00923.png,4
Pitaya,images/Pitaya\Pitaya001620.png,10
Plum,images/Plum\PlumÒÇé236.png,11
muskmelon,images/muskmelon\Muskmelon 001979.png,14
Apple,images/Apple\Apple 02143.png,0
Guava,images/Guava/guava total final\Guava864.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001329.png,4
Orange,images/Orange\Orange002849.png,6
muskmelon,images/muskmelon\Muskmelon 00993.png,14
Banana,images/Banana\Banana01834.png,1
Mango,images/Mango\Mango002403.png,5
Banana,images/Banana\Banana01388.png,1
Pomegranate,images/Pomegranate\Pomegranet00173.png,12
Mango,images/Mango\Mango001781.png,5
Guava,images/Guava/guava total final\ene15001.png,3
Pitaya,images/Pitaya\Pitaya001828.png,10
Carambola,images/Carambola\Carambola 0073.png,2
Pear,images/Pear\Pear 1849.png,8
Kiwi,images/Kiwi/kiwi A\Kiwi A0022.png,4
Apple,images/Apple\Apple 0983.png,0
Mango,images/Mango\Mango00419.png,5
Peach,images/Peach\Peach00863.png,7
Plum,images/Plum\PlumÒÇé155.png,11
Guava,images/Guava/guava total final\Guava03839.png,3
Banana,images/Banana\Banana01828.png,1
Pomegranate,images/Pomegranate\Pomegranet001290.png,12
Kiwi,images/Kiwi/kiwi A\Kiwi A00311.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002037.png,4
Orange,images/Orange\Orange00338.png,6
Plum,images/Plum\PlumÒÇé1179.png,11
Guava,images/Guava/guava total final\Guava03306.png,3
Pear,images/Pear\Pear 742.png,8
Tomatoes,images/Tomatoes\Tamotoes00272.png,13
Apple,images/Apple\Apple 03022.png,0
Orange,images/Orange\Orange001903.png,6
Pitaya,images/Pitaya\Pitaya001109.png,10
Guava,images/Guava/guava total final\ene07471.png,3
Guava,images/Guava/guava total final\Guava03465.png,3
Persimmon,images/Persimmon\Persimmon1003.png,9
Pear,images/Pear\Pear 14.png,8
Banana,images/Banana\Banana01463.png,1
Orange,images/Orange\Orange0085.png,6
Mango,images/Mango\Mango003189.png,5
Apple,images/Apple\Apple 01135.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001140.png,4
Guava,images/Guava/guava total final\Guava01273.png,3
Peach,images/Peach\Peach002274.png,7
Guava,images/Guava/guava total final\cene07171.png,3
Pear,images/Pear\Pear 1985.png,8
Peach,images/Peach\Peach002204.png,7
Carambola,images/Carambola\Carambola 0054.png,2
Apple,images/Apple\Apple 03829.png,0
Guava,images/Guava/guava total final\Guava1563.png,3
Carambola,images/Carambola\Carambola 00511.png,2
Mango,images/Mango\Mango003466.png,5
Kiwi,images/Kiwi/Kiwi B\Kiwi B00917.png,4
Mango,images/Mango\Mango002796.png,5
Apple,images/Apple\Apple 04195.jpeg,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001104.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001389.png,4
Plum,images/Plum\PlumÒÇé1782.png,11
Carambola,images/Carambola\Carambola 00737.png,2
Mango,images/Mango\Mango002164.png,5
Pomegranate,images/Pomegranate\Pomegranet001643.png,12
Pomegranate,images/Pomegranate\Pomegranet001247.png,12
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003970.png,4
Peach,images/Peach\Peach002486.png,7
Guava,images/Guava/guava total final\Guava0909.png,3
Pomegranate,images/Pomegranate\Pomegranet001466.png,12
Guava,images/Guava/guava total final\Guava769.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002271.png,4
Pomegranate,images/Pomegranate\Pomegranet001616.png,12
Apple,images/Apple\Apple 0761.png,0
Pitaya,images/Pitaya\Pitaya00429.png,10
Peach,images/Peach\Peach00900.png,7
Mango,images/Mango\Mango002802.png,5
Peach,images/Peach\Peach00182.png,7
Kiwi,images/Kiwi/kiwi A\Kiwi A00729.png,4
Apple,images/Apple\Apple 02350.png,0
Apple,images/Apple\Apple 0664.png,0
Orange,images/Orange\Orange002424.png,6
Persimmon,images/Persimmon\Persimmon223.png,9
Pear,images/Pear\pear_0_8375.png,8
Pear,images/Pear\Pear 1262.png,8
Peach,images/Peach\Peach002292.png,7
Plum,images/Plum\PlumÒÇé662.png,11
Guava,images/Guava/guava total final\cene07231.png,3
Mango,images/Mango\Mango003203.png,5
Guava,images/Guava/guava total final\Guava03123.png,3
Mango,images/Mango\Mango002538.png,5
Guava,images/Guava/guava total final\Guava02693.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00162.png,4
Kiwi,images/Kiwi/kiwi A\Kiwi A00386.png,4
Banana,images/Banana\Banana0971.png,1
Peach,images/Peach\Peach00822.png,7
Guava,images/Guava/guava total final\cene14221.png,3
muskmelon,images/muskmelon\Muskmelon 00443.png,14
Guava,images/Guava/guava total final\ene13861.png,3
Apple,images/Apple\Apple 0149.png,0
Tomatoes,images/Tomatoes\Tamotoes00155.png,13
Peach,images/Peach\Peach00441.png,7
Guava,images/Guava/guava total final\Guava03057.png,3
Pomegranate,images/Pomegranate\Pomegranet001303.png,12
Persimmon,images/Persimmon\Persimmon777.png,9
Apple,images/Apple\Apple 04697.png,0
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001397.png,4
Kiwi,images/Kiwi/Kiwi B\Kiwi B00234.png,4
Kiwi,images/Kiwi/kiwi A\Kiwi A0082.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003470.png,4
Mango,images/Mango\Mango00967.png,5
Apple,images/Apple\Apple 0755.png,0
Pear,images/Pear\Pear 55.png,8
Apple,images/Apple\Apple 04726.png,0
Peach,images/Peach\Peach001422.png,7
Banana,images/Banana\Banana02979.png,1
Banana,images/Banana\Banana0817.png,1
Guava,images/Guava/guava total final\Guava0931.png,3
Mango,images/Mango\Mango003913.png,5
Pomegranate,images/Pomegranate\Pomegranet002155.png,12
Mango,images/Mango\Mango001842.png,5
Apple,images/Apple\Apple 01558.png,0
Persimmon,images/Persimmon\Persimmon1391.png,9
Peach,images/Peach\Peach001535.png,7
Kiwi,images/Kiwi/Kiwi B\Kiwi B00211.png,4
Pear,images/Pear\Pear 2153.png,8
Pomegranate,images/Pomegranate\Pomegranet002132.png,12
Guava,images/Guava/guava total final\scene04341.png,3
Pear,images/Pear\pear_0_2701.png,8
Tomatoes,images/Tomatoes\Tamotoes002108.png,13
Orange,images/Orange\Orange001226.png,6
Tomatoes,images/Tomatoes\Tamotoes001477.png,13
Kiwi,images/Kiwi/kiwi A\Kiwi A00784.png,4
Guava,images/Guava/guava total final\Guava01164.png,3
Carambola,images/Carambola\Carambola 001831.png,2
muskmelon,images/muskmelon\Muskmelon 001816.png,14
Plum,images/Plum\PlumÒÇé1885.png,11
Pitaya,images/Pitaya\Pitaya001539.png,10
Carambola,images/Carambola\Carambola 001897.png,2
Persimmon,images/Persimmon\Persimmon101.png,9
Guava,images/Guava/guava total final\Guava03250.png,3
Orange,images/Orange\Orange002275.png,6
Mango,images/Mango\Mango00579.png,5
Persimmon,images/Persimmon\Persimmon1319.png,9
Plum,images/Plum\PlumÒÇé2254.png,11
Guava,images/Guava/guava total final\Guava1453.png,3
Guava,images/Guava/guava total final\Guava01364.png,3
Banana,images/Banana\Banana01531.png,1
Orange,images/Orange\Orange00231.png,6
Peach,images/Peach\Peach001140.png,7
Orange,images/Orange\Orange002635.png,6
Peach,images/Peach\Peach001472.png,7
Pear,images/Pear\Pear 305.png,8
Pear,images/Pear\Pear 1552.png,8
Plum,images/Plum\PlumÒÇé427.png,11
Guava,images/Guava/guava total final\Guava02845.png,3
Banana,images/Banana\Banana0292.png,1
Guava,images/Guava/guava total final\scene07921.png,3
Kiwi,images/Kiwi/Kiwi B\Kiwi B00761.png,4
Guava,images/Guava/guava total final\ene15241.png,3
Persimmon,images/Persimmon\Persimmon17.png,9
Pitaya,images/Pitaya\Pitaya00190.png,10
Banana,images/Banana\Banana01330.png,1
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001369.png,4
Peach,images/Peach\Peach00279.png,7
Apple,images/Apple\Apple 02962.png,0
Tomatoes,images/Tomatoes\Tamotoes00193.png,13
Apple,images/Apple\Apple 03648.png,0
Apple,images/Apple\Apple 01520.png,0
Plum,images/Plum\PlumÒÇé1425.png,11
Apple,images/Apple\Apple 04574.jpeg,0
Mango,images/Mango\Mango002480.png,5
Persimmon,images/Persimmon\Persimmon1386.png,9
Orange,images/Orange\Orange001713.png,6
Pear,images/Pear\Pear 628.png,8
Mango,images/Mango\Mango003056.png,5
Persimmon,images/Persimmon\Persimmon319.png,9
Pear,images/Pear\Pear 975.png,8
Orange,images/Orange\Orange001216.png,6
muskmelon,images/muskmelon\Muskmelon 00746.png,14
Plum,images/Plum\PlumÒÇé1443.png,11
Apple,images/Apple\Apple 03432.png,0
Plum,images/Plum\PlumÒÇé60.png,11
Kiwi,images/Kiwi/Kiwi B\Kiwi B00555.png,4
Persimmon,images/Persimmon\Persimmon1815.png,9
Apple,images/Apple\Apple 04637.jpeg,0
Apple,images/Apple\Apple 0152.png,0
Tomatoes,images/Tomatoes\Tamotoes001387.png,13
Banana,images/Banana\Banana02746.png,1
Guava,images/Guava/guava total final\Guava03234.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003975.png,4
Peach,images/Peach\Peach00640.png,7
Plum,images/Plum\PlumÒÇé278.png,11
Carambola,images/Carambola\Carambola 00136.png,2
Peach,images/Peach\Peach001784.png,7
Pear,images/Pear\Pear 328.png,8
Banana,images/Banana\Banana02943.png,1
Guava,images/Guava/guava total final\Guava01144.png,3
Orange,images/Orange\Orange001369.png,6
Guava,images/Guava/guava total final\Guava01860.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001872.png,4
Peach,images/Peach\Peach0060.png,7
Apple,images/Apple\Apple 04615.jpeg,0
Pear,images/Pear\Pear 287.png,8
Orange,images/Orange\Orange002632.png,6
Guava,images/Guava/guava total final\Guava02212.png,3
Plum,images/Plum\PlumÒÇé263.png,11
Banana,images/Banana\Banana0641.png,1
Pear,images/Pear\Pear 158.png,8
Pitaya,images/Pitaya\Pitaya001837.png,10
Peach,images/Peach\Peach002233.png,7
Plum,images/Plum\PlumÒÇé469.png,11
Mango,images/Mango\Mango001451.png,5
Guava,images/Guava/guava total final\Guava01101.png,3
Orange,images/Orange\Orange002410.png,6
Guava,images/Guava/guava total final\Guava1423.png,3
Plum,images/Plum\PlumÒÇé588.png,11
Guava,images/Guava/guava total final\Guava03673.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002410.png,4
Guava,images/Guava/guava total final\Guava0990.png,3
Tomatoes,images/Tomatoes\Tamotoes00939.png,13
Kiwi,images/Kiwi/Kiwi C\Kiwi C00790.png,4
Guava,images/Guava/guava total final\Guava03134.png,3
Apple,images/Apple\Apple 01418.png,0
Guava,images/Guava/guava total final\Guava298.png,3
Persimmon,images/Persimmon\Persimmon706.png,9
muskmelon,images/muskmelon\Muskmelon 00835.png,14
Peach,images/Peach\Peach001225.png,7
Kiwi,images/Kiwi/kiwi A\Kiwi A00433.png,4
Pear,images/Pear\Pear 863.png,8
Kiwi,images/Kiwi/kiwi A\Kiwi A00774.png,4
Kiwi,images/Kiwi/kiwi A\Kiwi A00254.png,4
Guava,images/Guava/guava total final\Guava464.png,3
Plum,images/Plum\PlumÒÇé1794.png,11
Plum,images/Plum\PlumÒÇé343.png,11
Mango,images/Mango\Mango00583.png,5
Pear,images/Pear\Pear 374.png,8
Apple,images/Apple\Apple 01991.png,0
Apple,images/Apple\Apple 03873.png,0
Banana,images/Banana\Banana0734.png,1
Kiwi,images/Kiwi/Kiwi C\Kiwi C00884.png,4
Kiwi,images/Kiwi/kiwi A\Kiwi A00654.png,4
Peach,images/Peach\Peach002515.png,7
Pitaya,images/Pitaya\Pitaya001893.png,10
Orange,images/Orange\Orange00685.png,6
Pitaya,images/Pitaya\Pitaya001689.png,10
Tomatoes,images/Tomatoes\Tamotoes00381.png,13
Mango,images/Mango\Mango00737.png,5
Guava,images/Guava/guava total final\scene08061.png,3
Guava,images/Guava/guava total final\cene12541.png,3
Pear,images/Pear\Pear 553.png,8
Apple,images/Apple\Apple 0810.png,0
Peach,images/Peach\Peach00300.png,7
Pitaya,images/Pitaya\Pitaya00675.png,10
Pear,images/Pear\pear_0_5819.png,8
Pitaya,images/Pitaya\Pitaya00475.png,10
Plum,images/Plum\PlumÒÇé1180.png,11
Kiwi,images/Kiwi/Kiwi C\Kiwi C00389.png,4
Mango,images/Mango\Mango001689.png,5
Pitaya,images/Pitaya\Pitaya006.png,10
Apple,images/Apple\Apple 04414.jpeg,0
Pitaya,images/Pitaya\Pitaya00874.png,10
Kiwi,images/Kiwi/Kiwi B\Kiwi B00855.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001860.png,4
Banana,images/Banana\Banana01913.png,1
Peach,images/Peach\Peach00509.png,7
muskmelon,images/muskmelon\Muskmelon 001081.png,14
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001271.png,4
Pomegranate,images/Pomegranate\Pomegranet00170.png,12
Kiwi,images/Kiwi/kiwi A\Kiwi A001464.png,4
Orange,images/Orange\Orange00156.png,6
Persimmon,images/Persimmon\Persimmon1330.png,9
Pomegranate,images/Pomegranate\Pomegranet001182.png,12
Banana,images/Banana\Banana0912.png,1
Apple,images/Apple\Apple 03953.png,0
Apple,images/Apple\Apple 0704.png,0
Orange,images/Orange\Orange002192.png,6
Apple,images/Apple\Apple 03266.png,0
Mango,images/Mango\Mango002596.png,5
Pomegranate,images/Pomegranate\Pomegranet00292.png,12
Carambola,images/Carambola\Carambola 001936.png,2
Carambola,images/Carambola\Carambola 001503.png,2
Guava,images/Guava/guava total final\Guava1060.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001374.png,4
Plum,images/Plum\PlumÒÇé1901.png,11
Persimmon,images/Persimmon\Persimmon1701.png,9
Guava,images/Guava/guava total final\Guava0375.png,3
Apple,images/Apple\Apple 02271.png,0
Banana,images/Banana\Banana01881.png,1
Banana,images/Banana\Banana02329.png,1
muskmelon,images/muskmelon\Muskmelon 00515.png,14
Plum,images/Plum\PlumÒÇé169.png,11
Peach,images/Peach\Peach001074.png,7
Persimmon,images/Persimmon\Persimmon641.png,9
Carambola,images/Carambola\Carambola 00699.png,2
Banana,images/Banana\Banana0961.png,1
Plum,images/Plum\PlumÒÇé943.png,11
Mango,images/Mango\Mango002819.png,5
Mango,images/Mango\Mango001676.png,5
Pear,images/Pear\Pear 191.png,8
Pear,images/Pear\pear_0_7056.png,8
Tomatoes,images/Tomatoes\Tamotoes001639.png,13
Pitaya,images/Pitaya\Pitaya001036.png,10
Pear,images/Pear\Pear 241.png,8
Banana,images/Banana\Banana01002.png,1
muskmelon,images/muskmelon\Muskmelon 001927.png,14
Kiwi,images/Kiwi/Kiwi B\Kiwi B00980.png,4
Mango,images/Mango\Mango003453.png,5
Plum,images/Plum\PlumÒÇé819.png,11
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003944.png,4
Apple,images/Apple\Apple 02795.png,0
Guava,images/Guava/guava total final\Guava01258.png,3
Apple,images/Apple\Apple 02582.png,0
Peach,images/Peach\Peach002315.png,7
Persimmon,images/Persimmon\Persimmon221.png,9
Pomegranate,images/Pomegranate\Pomegranet001632.png,12
Persimmon,images/Persimmon\Persimmon1484.png,9
Pear,images/Pear\pear_0_5953.png,8
Orange,images/Orange\Orange002507.png,6
Guava,images/Guava/guava total final\Guava01340.png,3
Mango,images/Mango\Mango002360.png,5
Banana,images/Banana\Banana0210.png,1
Guava,images/Guava/guava total final\Guava1063.png,3
Pitaya,images/Pitaya\Pitaya001433.png,10
Mango,images/Mango\Mango003778.png,5
Peach,images/Peach\Peach002306.png,7
Guava,images/Guava/guava total final\Guava182.png,3
muskmelon,images/muskmelon\Muskmelon 001407.png,14
Persimmon,images/Persimmon\Persimmon1720.png,9
Apple,images/Apple\Apple 0377.png,0
Kiwi,images/Kiwi/kiwi A\Kiwi A00760.png,4
Peach,images/Peach\Peach002519.png,7
Apple,images/Apple\Apple 01552.png,0
Plum,images/Plum\PlumÒÇé846.png,11
Pear,images/Pear\Pear 200.png,8
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003296.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002561.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003953.png,4
Apple,images/Apple\Apple 01416.png,0
Pitaya,images/Pitaya\Pitaya00583.png,10
Guava,images/Guava/guava total final\Guava02103.png,3
Guava,images/Guava/guava total final\Guava0533.png,3
Apple,images/Apple\Apple 02351.png,0
Pomegranate,images/Pomegranate\Pomegranet001195.png,12
Apple,images/Apple\Apple 02574.png,0
Carambola,images/Carambola\Carambola 00809.png,2
Apple,images/Apple\Apple 0608.png,0
Carambola,images/Carambola\Carambola 00997.png,2
Pear,images/Pear\Pear 737.png,8
Orange,images/Orange\Orange00242.png,6
Banana,images/Banana\Banana01096.png,1
Peach,images/Peach\Peach001467.png,7
Guava,images/Guava/guava total final\scene15321.png,3
Persimmon,images/Persimmon\Persimmon1527.png,9
Guava,images/Guava/guava total final\Guava03152.png,3
Orange,images/Orange\Orange001056.png,6
Kiwi,images/Kiwi/Kiwi B\Kiwi B001040.png,4
Guava,images/Guava/guava total final\Guava01160.png,3
Apple,images/Apple\Apple 01565.png,0
muskmelon,images/muskmelon\Muskmelon 001384.png,14
Plum,images/Plum\PlumÒÇé1927.png,11
Peach,images/Peach\Peach002354.png,7
Persimmon,images/Persimmon\Persimmon297.png,9
Guava,images/Guava/guava total final\Guava932.png,3
Guava,images/Guava/guava total final\Guava0140.png,3
Kiwi,images/Kiwi/kiwi A\Kiwi A00668.png,4
Mango,images/Mango\Mango003547.png,5
Kiwi,images/Kiwi/kiwi A\Kiwi A001666.png,4
Mango,images/Mango\Mango001022.png,5
Banana,images/Banana\Banana0247.png,1
Pitaya,images/Pitaya\Pitaya00562.png,10
Banana,images/Banana\Banana0138.png,1
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00515.png,4
Guava,images/Guava/guava total final\Guava01501.png,3
Guava,images/Guava/guava total final\Guava61.png,3
Guava,images/Guava/guava total final\Guava604.png,3
Kiwi,images/Kiwi/Kiwi B\Kiwi B00173.png,4
Orange,images/Orange\Orange001378.png,6
Apple,images/Apple\Apple 02314.png,0
Pitaya,images/Pitaya\Pitaya002164.png,10
Peach,images/Peach\Peach00511.png,7
Pear,images/Pear\Pear 276.png,8
Apple,images/Apple\Apple 01823.png,0
Kiwi,images/Kiwi/kiwi A\Kiwi A001593.png,4
Plum,images/Plum\PlumÒÇé1441.png,11
Tomatoes,images/Tomatoes\Tamotoes00761.png,13
Mango,images/Mango\Mango001166.png,5
Tomatoes,images/Tomatoes\Tamotoes00973.png,13
Kiwi,images/Kiwi/kiwi A\Kiwi A001403.png,4
Carambola,images/Carambola\Carambola 001596.png,2
Mango,images/Mango\Mango001355.png,5
Guava,images/Guava/guava total final\Guava79.png,3
Kiwi,images/Kiwi/kiwi A\Kiwi A00318.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi002199.png,4
Apple,images/Apple\Apple 04162.jpeg,0
Kiwi,images/Kiwi/Kiwi B\Kiwi B00860.png,4
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00673.png,4
Orange,images/Orange\Orange001396.png,6
Guava,images/Guava/guava total final\Guava01234.png,3
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi00959.png,4
Pear,images/Pear\Pear 1898.png,8
Pear,images/Pear\pear_0_258.png,8
Banana,images/Banana\Banana02385.png,1
Banana,images/Banana\Banana02253.png,1
Kiwi,images/Kiwi/Kiwi B\Kiwi B0031.png,4
Apple,images/Apple\Apple 04097.png,0
Mango,images/Mango\Mango00667.png,5
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi003378.png,4
Tomatoes,images/Tomatoes\Tamotoes001698.png,13
Mango,images/Mango\Mango003822.png,5
Kiwi,images/Kiwi/Total Number of Kiwi fruit\Kiwi001097.png,4
Tomatoes,images/Tomatoes\Tamotoes001981.png,13
Pear,images/Pear\Pear 315.png,8
Guava,images/Guava/guava total final\Guava0279.png,3
Guava,images/Guava/guava total final\Guava0691.png,3
Apple,images/Apple\Apple 03275.png,0
Mango,images/Mango\Mango002331.png,5
Plum,images/Plum\PlumÒÇé1853.png,11
